title,description,category,is_coherent
"Manhole Cover Missing near hospital road","The manhole cover missing on hospital road has been creating problems for commuters for weeks","road-transportation","1"
"Road Cave-In at main road","The condition of main road is very poor due to road cave-in affecting daily travel","road-transportation","1"
"Problem with road digging unauthorized on main road","road digging unauthorized on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of road debris at main road","Urgent repair needed for road debris on main road which is causing accidents","road-transportation","1"
"Road Construction Delay at main road","road construction delay on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of traffic signal not working at residential street","traffic signal not working on residential street is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of manhole cover missing at market area","There is a major manhole cover missing on market area causing traffic problems and vehicle damage","road-transportation","1"
"Complaint about footpath broken near school zone","Urgent repair needed for footpath broken on school zone which is causing accidents","road-transportation","1"
"Road Flooding - residential street","Urgent repair needed for road flooding on residential street which is causing accidents","road-transportation","1"
"Complaint about vehicle parking illegal near bus route","There is a major vehicle parking illegal on bus route causing traffic problems and vehicle damage","road-transportation","1"
"Complaint about road damage near market area","The condition of market area is very poor due to road damage affecting daily travel","road-transportation","1"
"Problem with manhole cover missing on lane","Urgent repair needed for manhole cover missing on lane which is causing accidents","road-transportation","1"
"Complaint about pothole near residential street","Urgent repair needed for pothole on residential street which is causing accidents","road-transportation","1"
"Problem with road cave-in on school zone","road cave-in on school zone is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Digging Unauthorized near residential street","There is a major road digging unauthorized on residential street causing traffic problems and vehicle damage","road-transportation","1"
"Zebra Crossing Faded at housing society","There is a major zebra crossing faded on housing society causing traffic problems and vehicle damage","road-transportation","1"
"Issue of road construction delay at lane","The condition of lane is very poor due to road construction delay affecting daily travel","road-transportation","1"
"Bus Stop Broken near commercial area","The bus stop broken on commercial area has been creating problems for commuters for weeks","road-transportation","1"
"Urgent: vehicle parking illegal on school zone","There is a major vehicle parking illegal on school zone causing traffic problems and vehicle damage","road-transportation","1"
"Urgent: pothole on commercial area","The condition of commercial area is very poor due to pothole affecting daily travel","road-transportation","1"
"Issue of road digging unauthorized at lane","Urgent repair needed for road digging unauthorized on lane which is causing accidents","road-transportation","1"
"Complaint about manhole cover missing near lane","The manhole cover missing on lane has been creating problems for commuters for weeks","road-transportation","1"
"Traffic Signal Not Working at housing society","The condition of housing society is very poor due to traffic signal not working affecting daily travel","road-transportation","1"
"Manhole Cover Missing at commercial area","Urgent repair needed for manhole cover missing on commercial area which is causing accidents","road-transportation","1"
"Issue of flyover problem at housing society","flyover problem on housing society is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of zebra crossing faded at commercial area","The condition of commercial area is very poor due to zebra crossing faded affecting daily travel","road-transportation","1"
"Bridge Crack - housing society","Urgent repair needed for bridge crack on housing society which is causing accidents","road-transportation","1"
"Manhole Cover Missing on residential street","There is a major manhole cover missing on residential street causing traffic problems and vehicle damage","road-transportation","1"
"Street Vendor Blocking Road near hospital road","The condition of hospital road is very poor due to street vendor blocking road affecting daily travel","road-transportation","1"
"Complaint about road cave-in near hospital road","The road cave-in on hospital road has been creating problems for commuters for weeks","road-transportation","1"
"Problem with road construction delay on residential street","road construction delay on residential street is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Traffic Signal Not Working at commercial area","Urgent repair needed for traffic signal not working on commercial area which is causing accidents","road-transportation","1"
"Complaint about road marking missing near highway","Urgent repair needed for road marking missing on highway which is causing accidents","road-transportation","1"
"Bus Stop Broken on hospital road","bus stop broken on hospital road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Vehicle Parking Illegal near hospital road","There is a major vehicle parking illegal on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Road Cave-In - main road","The road cave-in on main road has been creating problems for commuters for weeks","road-transportation","1"
"Issue of bridge crack at residential street","Urgent repair needed for bridge crack on residential street which is causing accidents","road-transportation","1"
"Urgent: bridge crack on residential street","The bridge crack on residential street has been creating problems for commuters for weeks","road-transportation","1"
"Complaint about road cave-in near bus route","There is a major road cave-in on bus route causing traffic problems and vehicle damage","road-transportation","1"
"Traffic Signal Not Working near main road","The traffic signal not working on main road has been creating problems for commuters for weeks","road-transportation","1"
"Street Vendor Blocking Road on main road","The condition of main road is very poor due to street vendor blocking road affecting daily travel","road-transportation","1"
"Road Damage on main road","The road damage on main road has been creating problems for commuters for weeks","road-transportation","1"
"Road Marking Missing near housing society","The condition of housing society is very poor due to road marking missing affecting daily travel","road-transportation","1"
"Urgent: road marking missing on school zone","There is a major road marking missing on school zone causing traffic problems and vehicle damage","road-transportation","1"
"Pothole - bus route","Urgent repair needed for pothole on bus route which is causing accidents","road-transportation","1"
"Problem with road digging unauthorized on highway","There is a major road digging unauthorized on highway causing traffic problems and vehicle damage","road-transportation","1"
"Traffic Signal Not Working in school zone","The condition of school zone is very poor due to traffic signal not working affecting daily travel","road-transportation","1"
"Issue of pothole at housing society","Urgent repair needed for pothole on housing society which is causing accidents","road-transportation","1"
"Road Digging Unauthorized on hospital road","Urgent repair needed for road digging unauthorized on hospital road which is causing accidents","road-transportation","1"
"Pothole on market area","The pothole on market area has been creating problems for commuters for weeks","road-transportation","1"
"Problem with road cave-in on housing society","The road cave-in on housing society has been creating problems for commuters for weeks","road-transportation","1"
"Issue of bridge crack at school zone","The condition of school zone is very poor due to bridge crack affecting daily travel","road-transportation","1"
"Urgent: street vendor blocking road on bus route","There is a major street vendor blocking road on bus route causing traffic problems and vehicle damage","road-transportation","1"
"Issue of road debris at bus route","road debris on bus route is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Construction Delay at bus route","The road construction delay on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Flyover Problem at highway","The flyover problem on highway has been creating problems for commuters for weeks","road-transportation","1"
"Problem with road cave-in on lane","The condition of lane is very poor due to road cave-in affecting daily travel","road-transportation","1"
"Road Construction Delay near main road","The road construction delay on main road has been creating problems for commuters for weeks","road-transportation","1"
"Issue of footpath broken at housing society","The condition of housing society is very poor due to footpath broken affecting daily travel","road-transportation","1"
"Complaint about road cave-in near housing society","The road cave-in on housing society has been creating problems for commuters for weeks","road-transportation","1"
"Pothole at main road","pothole on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Vehicle Parking Illegal - market area","There is a major vehicle parking illegal on market area causing traffic problems and vehicle damage","road-transportation","1"
"Road Debris in hospital road","Urgent repair needed for road debris on hospital road which is causing accidents","road-transportation","1"
"Urgent: flyover problem on highway","There is a major flyover problem on highway causing traffic problems and vehicle damage","road-transportation","1"
"Street Vendor Blocking Road - housing society","The street vendor blocking road on housing society has been creating problems for commuters for weeks","road-transportation","1"
"Issue of speed breaker damage at housing society","There is a major speed breaker damage on housing society causing traffic problems and vehicle damage","road-transportation","1"
"Issue of road digging unauthorized at bus route","The road digging unauthorized on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Road Construction Delay in hospital road","road construction delay on hospital road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Urgent: zebra crossing faded on main road","zebra crossing faded on main road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Flyover Problem in market area","Urgent repair needed for flyover problem on market area which is causing accidents","road-transportation","1"
"Complaint about zebra crossing faded near housing society","Urgent repair needed for zebra crossing faded on housing society which is causing accidents","road-transportation","1"
"Bus Stop Broken at lane","The bus stop broken on lane has been creating problems for commuters for weeks","road-transportation","1"
"Urgent: road marking missing on main road","There is a major road marking missing on main road causing traffic problems and vehicle damage","road-transportation","1"
"Urgent: manhole cover missing on bus route","The manhole cover missing on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Issue of speed breaker damage at commercial area","speed breaker damage on commercial area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Problem with footpath broken on highway","The footpath broken on highway has been creating problems for commuters for weeks","road-transportation","1"
"Issue of speed breaker damage at school zone","There is a major speed breaker damage on school zone causing traffic problems and vehicle damage","road-transportation","1"
"Problem with flyover problem on main road","Urgent repair needed for flyover problem on main road which is causing accidents","road-transportation","1"
"Bus Stop Broken on highway","Urgent repair needed for bus stop broken on highway which is causing accidents","road-transportation","1"
"Road Debris in market area","road debris on market area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Issue of road marking missing at commercial area","The road marking missing on commercial area has been creating problems for commuters for weeks","road-transportation","1"
"Road Damage on housing society","road damage on housing society is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Construction Delay on commercial area","Urgent repair needed for road construction delay on commercial area which is causing accidents","road-transportation","1"
"Zebra Crossing Faded - hospital road","zebra crossing faded on hospital road is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Construction Delay at hospital road","There is a major road construction delay on hospital road causing traffic problems and vehicle damage","road-transportation","1"
"Bridge Crack at lane","bridge crack on lane is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Problem with road damage on school zone","The condition of school zone is very poor due to road damage affecting daily travel","road-transportation","1"
"Road Cave-In - bus route","The road cave-in on bus route has been creating problems for commuters for weeks","road-transportation","1"
"Issue of pothole at hospital road","Urgent repair needed for pothole on hospital road which is causing accidents","road-transportation","1"
"Road Marking Missing at lane","There is a major road marking missing on lane causing traffic problems and vehicle damage","road-transportation","1"
"Urgent: road debris on lane","There is a major road debris on lane causing traffic problems and vehicle damage","road-transportation","1"
"Urgent: road damage on housing society","The road damage on housing society has been creating problems for commuters for weeks","road-transportation","1"
"Road Digging Unauthorized - market area","The road digging unauthorized on market area has been creating problems for commuters for weeks","road-transportation","1"
"Footpath Broken in market area","Urgent repair needed for footpath broken on market area which is causing accidents","road-transportation","1"
"Issue of low water pressure at hospital","Due to low water pressure in hospital residents are facing severe water crisis","water-supply","1"
"Connection Not Approved in market","The water problem of connection not approved in market needs immediate attention","water-supply","1"
"Problem with no water supply on slum area","The no water supply in slum area has affected water supply to hundreds of families","water-supply","1"
"Water Bill Error at hospital","Due to water bill error in hospital residents are facing severe water crisis","water-supply","1"
"Problem with meter not working on market","Due to meter not working in market residents are facing severe water crisis","water-supply","1"
"Complaint about water leakage near residential area","The water leakage in residential area has affected water supply to hundreds of families","water-supply","1"
"Connection Not Approved near slum area","We are facing connection not approved in slum area for the past several days","water-supply","1"
"Problem with water leakage on hospital","The water problem of water leakage in hospital needs immediate attention","water-supply","1"
"Problem with connection not approved on school","Due to connection not approved in school residents are facing severe water crisis","water-supply","1"
"No Water Supply near hospital","The water problem of no water supply in hospital needs immediate attention","water-supply","1"
"Low Water Pressure - office building","Urgent action needed for low water pressure in office building as people have no water","water-supply","1"
"Complaint about water contamination near township","The water contamination in township has affected water supply to hundreds of families","water-supply","1"
"Borewell Problem at village","Urgent action needed for borewell problem in village as people have no water","water-supply","1"
"Water Leakage near school","We are facing water leakage in school for the past several days","water-supply","1"
"Problem with no water supply on colony","The no water supply in colony has affected water supply to hundreds of families","water-supply","1"
"Water Leakage in village","Due to water leakage in village residents are facing severe water crisis","water-supply","1"
"Illegal Water Tapping near office building","Due to illegal water tapping in office building residents are facing severe water crisis","water-supply","1"
"Urgent: illegal water tapping on school","Urgent action needed for illegal water tapping in school as people have no water","water-supply","1"
"Problem with connection not approved on colony","Due to connection not approved in colony residents are facing severe water crisis","water-supply","1"
"Connection Not Approved on apartment complex","We are facing connection not approved in apartment complex for the past several days","water-supply","1"
"Complaint about connection not approved near slum area","The connection not approved in slum area has affected water supply to hundreds of families","water-supply","1"
"Pipeline Burst on colony","We are facing pipeline burst in colony for the past several days","water-supply","1"
"Water Contamination - school","Urgent action needed for water contamination in school as people have no water","water-supply","1"
"Issue of connection not approved at village","Urgent action needed for connection not approved in village as people have no water","water-supply","1"
"Pipeline Burst near residential area","The water problem of pipeline burst in residential area needs immediate attention","water-supply","1"
"Water Storage Overflow near hospital","We are facing water storage overflow in hospital for the past several days","water-supply","1"
"Borewell Problem near township","Urgent action needed for borewell problem in township as people have no water","water-supply","1"
"Problem with borewell problem on township","Urgent action needed for borewell problem in township as people have no water","water-supply","1"
"Problem with water contamination on village","We are facing water contamination in village for the past several days","water-supply","1"
"Problem with valve damage on office building","We are facing valve damage in office building for the past several days","water-supply","1"
"Complaint about water storage overflow near apartment complex","The water problem of water storage overflow in apartment complex needs immediate attention","water-supply","1"
"Complaint about water tanker delay near school","Urgent action needed for water tanker delay in school as people have no water","water-supply","1"
"Water Contamination on hospital","Urgent action needed for water contamination in hospital as people have no water","water-supply","1"
"Water Contamination near hospital","We are facing water contamination in hospital for the past several days","water-supply","1"
"Pump Not Working on school","The water problem of pump not working in school needs immediate attention","water-supply","1"
"Water Bill Error in residential area","The water problem of water bill error in residential area needs immediate attention","water-supply","1"
"Water Tanker Delay - village","Urgent action needed for water tanker delay in village as people have no water","water-supply","1"
"Complaint about connection not approved near apartment complex","The water problem of connection not approved in apartment complex needs immediate attention","water-supply","1"
"Urgent: water contamination on office building","Urgent action needed for water contamination in office building as people have no water","water-supply","1"
"Meter Not Working at colony","The meter not working in colony has affected water supply to hundreds of families","water-supply","1"
"Issue of water leakage at village","The water problem of water leakage in village needs immediate attention","water-supply","1"
"Issue of water contamination at colony","Due to water contamination in colony residents are facing severe water crisis","water-supply","1"
"Illegal Water Tapping on apartment complex","We are facing illegal water tapping in apartment complex for the past several days","water-supply","1"
"Water Storage Overflow near slum area","The water problem of water storage overflow in slum area needs immediate attention","water-supply","1"
"Water Tanker Delay on apartment complex","The water tanker delay in apartment complex has affected water supply to hundreds of families","water-supply","1"
"Urgent: water storage overflow on residential area","The water problem of water storage overflow in residential area needs immediate attention","water-supply","1"
"Problem with water storage overflow on residential area","The water problem of water storage overflow in residential area needs immediate attention","water-supply","1"
"Low Water Pressure at hospital","The water problem of low water pressure in hospital needs immediate attention","water-supply","1"
"Pipeline Burst at colony","Urgent action needed for pipeline burst in colony as people have no water","water-supply","1"
"Water Contamination - hospital","Urgent action needed for water contamination in hospital as people have no water","water-supply","1"
"Water Bill Error near market","The water problem of water bill error in market needs immediate attention","water-supply","1"
"Issue of water contamination at township","Due to water contamination in township residents are facing severe water crisis","water-supply","1"
"Problem with connection not approved on village","Urgent action needed for connection not approved in village as people have no water","water-supply","1"
"Urgent: borewell problem on village","Due to borewell problem in village residents are facing severe water crisis","water-supply","1"
"Urgent: meter not working on township","Urgent action needed for meter not working in township as people have no water","water-supply","1"
"Complaint about low water pressure near slum area","The low water pressure in slum area has affected water supply to hundreds of families","water-supply","1"
"Water Contamination - township","We are facing water contamination in township for the past several days","water-supply","1"
"No Water Supply at market","Due to no water supply in market residents are facing severe water crisis","water-supply","1"
"Water Bill Error near village","We are facing water bill error in village for the past several days","water-supply","1"
"Low Water Pressure in village","We are facing low water pressure in village for the past several days","water-supply","1"
"Complaint about meter not working near slum area","The meter not working in slum area has affected water supply to hundreds of families","water-supply","1"
"Problem with water tanker delay on township","We are facing water tanker delay in township for the past several days","water-supply","1"
"Water Bill Error in colony","Due to water bill error in colony residents are facing severe water crisis","water-supply","1"
"Meter Not Working - residential area","The water problem of meter not working in residential area needs immediate attention","water-supply","1"
"Water Contamination in village","Due to water contamination in village residents are facing severe water crisis","water-supply","1"
"Urgent: low water pressure on township","Urgent action needed for low water pressure in township as people have no water","water-supply","1"
"Pipeline Burst - slum area","We are facing pipeline burst in slum area for the past several days","water-supply","1"
"Problem with water leakage on market","Urgent action needed for water leakage in market as people have no water","water-supply","1"
"Complaint about water contamination near office building","We are facing water contamination in office building for the past several days","water-supply","1"
"Pump Not Working at market","Urgent action needed for pump not working in market as people have no water","water-supply","1"
"Pump Not Working in village","We are facing pump not working in village for the past several days","water-supply","1"
"Water Bill Error in township","The water bill error in township has affected water supply to hundreds of families","water-supply","1"
"Connection Not Approved on school","Due to connection not approved in school residents are facing severe water crisis","water-supply","1"
"Valve Damage at township","The water problem of valve damage in township needs immediate attention","water-supply","1"
"Water Tanker Delay near school","Urgent action needed for water tanker delay in school as people have no water","water-supply","1"
"Issue of borewell problem at apartment complex","Urgent action needed for borewell problem in apartment complex as people have no water","water-supply","1"
"Problem with connection not approved on township","Urgent action needed for connection not approved in township as people have no water","water-supply","1"
"Meter Not Working in hospital","The meter not working in hospital has affected water supply to hundreds of families","water-supply","1"
"Urgent: pipeline burst on apartment complex","The pipeline burst in apartment complex has affected water supply to hundreds of families","water-supply","1"
"Urgent: pipeline burst on market","Due to pipeline burst in market residents are facing severe water crisis","water-supply","1"
"Valve Damage at colony","The water problem of valve damage in colony needs immediate attention","water-supply","1"
"Issue of pipeline burst at village","The water problem of pipeline burst in village needs immediate attention","water-supply","1"
"Meter Not Working - residential area","The water problem of meter not working in residential area needs immediate attention","water-supply","1"
"Borewell Problem on slum area","Urgent action needed for borewell problem in slum area as people have no water","water-supply","1"
"Water Contamination in hospital","We are facing water contamination in hospital for the past several days","water-supply","1"
"Water Contamination near market","The water contamination in market has affected water supply to hundreds of families","water-supply","1"
"Urgent: borewell problem on school","The borewell problem in school has affected water supply to hundreds of families","water-supply","1"
"Illegal Water Tapping - hospital","Due to illegal water tapping in hospital residents are facing severe water crisis","water-supply","1"
"Water Storage Overflow - residential area","Urgent action needed for water storage overflow in residential area as people have no water","water-supply","1"
"Complaint about no water supply near colony","The no water supply in colony has affected water supply to hundreds of families","water-supply","1"
"Meter Not Working at office building","We are facing meter not working in office building for the past several days","water-supply","1"
"Water Storage Overflow on market","The water problem of water storage overflow in market needs immediate attention","water-supply","1"
"Complaint about low water pressure near office building","We are facing low water pressure in office building for the past several days","water-supply","1"
"Issue of low water pressure at colony","Urgent action needed for low water pressure in colony as people have no water","water-supply","1"
"Meter Not Working near school","We are facing meter not working in school for the past several days","water-supply","1"
"Water Bill Error - township","We are facing water bill error in township for the past several days","water-supply","1"
"Meter Not Working - school","Urgent action needed for meter not working in school as people have no water","water-supply","1"
"Pipeline Burst on residential area","The water problem of pipeline burst in residential area needs immediate attention","water-supply","1"
"Water Storage Overflow at hospital","The water problem of water storage overflow in hospital needs immediate attention","water-supply","1"
"Pump Not Working - township","The water problem of pump not working in township needs immediate attention","water-supply","1"
"Low Water Pressure on slum area","The water problem of low water pressure in slum area needs immediate attention","water-supply","1"
"No Water Supply on school","The water problem of no water supply in school needs immediate attention","water-supply","1"
"Illegal Water Tapping near township","Urgent action needed for illegal water tapping in township as people have no water","water-supply","1"
"No Water Supply on school","The water problem of no water supply in school needs immediate attention","water-supply","1"
"Water Contamination - market","Urgent action needed for water contamination in market as people have no water","water-supply","1"
"Pipeline Burst on slum area","We are facing pipeline burst in slum area for the past several days","water-supply","1"
"Urgent: meter not working on school","We are facing meter not working in school for the past several days","water-supply","1"
"Issue of water leakage at office building","The water leakage in office building has affected water supply to hundreds of families","water-supply","1"
"Problem with pipeline burst on township","The water problem of pipeline burst in township needs immediate attention","water-supply","1"
"Water Storage Overflow on school","The water storage overflow in school has affected water supply to hundreds of families","water-supply","1"
"Urgent: water storage overflow on township","The water storage overflow in township has affected water supply to hundreds of families","water-supply","1"
"Pump Not Working near apartment complex","We are facing pump not working in apartment complex for the past several days","water-supply","1"
"Problem with connection not approved on colony","The water problem of connection not approved in colony needs immediate attention","water-supply","1"
"Water Bill Error on slum area","We are facing water bill error in slum area for the past several days","water-supply","1"
"Valve Damage near township","Due to valve damage in township residents are facing severe water crisis","water-supply","1"
"Water Tanker Delay - market","The water problem of water tanker delay in market needs immediate attention","water-supply","1"
"Complaint about valve damage near market","The valve damage in market has affected water supply to hundreds of families","water-supply","1"
"Urgent: no water supply on village","The no water supply in village has affected water supply to hundreds of families","water-supply","1"
"Problem with meter not working on village","Due to meter not working in village residents are facing severe water crisis","water-supply","1"
"Urgent: illegal water tapping on hospital","The illegal water tapping in hospital has affected water supply to hundreds of families","water-supply","1"
"Valve Damage on village","Due to valve damage in village residents are facing severe water crisis","water-supply","1"
"Water Contamination near colony","Urgent action needed for water contamination in colony as people have no water","water-supply","1"
"Borewell Problem at slum area","Due to borewell problem in slum area residents are facing severe water crisis","water-supply","1"
"Pump Not Working - apartment complex","We are facing pump not working in apartment complex for the past several days","water-supply","1"
"Pump Not Working on village","The pump not working in village has affected water supply to hundreds of families","water-supply","1"
"Meter Not Working - village","Due to meter not working in village residents are facing severe water crisis","water-supply","1"
"Complaint about water leakage near office building","The water problem of water leakage in office building needs immediate attention","water-supply","1"
"Problem with illegal water tapping on market","We are facing illegal water tapping in market for the past several days","water-supply","1"
"Valve Damage - hospital","Urgent action needed for valve damage in hospital as people have no water","water-supply","1"
"Issue of water leakage at school","We are facing water leakage in school for the past several days","water-supply","1"
"Connection Not Approved at hospital","The connection not approved in hospital has affected water supply to hundreds of families","water-supply","1"
"Problem with borewell problem on residential area","Due to borewell problem in residential area residents are facing severe water crisis","water-supply","1"
"Meter Not Working near residential area","We are facing meter not working in residential area for the past several days","water-supply","1"
"Water Leakage in apartment complex","The water leakage in apartment complex has affected water supply to hundreds of families","water-supply","1"
"Problem with water contamination on school","We are facing water contamination in school for the past several days","water-supply","1"
"Issue of pipeline burst at market","Urgent action needed for pipeline burst in market as people have no water","water-supply","1"
"Water Tanker Delay on slum area","Due to water tanker delay in slum area residents are facing severe water crisis","water-supply","1"
"Complaint about borewell problem near township","The borewell problem in township has affected water supply to hundreds of families","water-supply","1"
"Water Contamination - slum area","We are facing water contamination in slum area for the past several days","water-supply","1"
"Urgent: water contamination on village","Due to water contamination in village residents are facing severe water crisis","water-supply","1"
"Issue of borewell problem at colony","We are facing borewell problem in colony for the past several days","water-supply","1"
"Issue of water leakage at residential area","The water problem of water leakage in residential area needs immediate attention","water-supply","1"
"Urgent: connection not approved on hospital","Due to connection not approved in hospital residents are facing severe water crisis","water-supply","1"
"Water Tanker Delay near township","Due to water tanker delay in township residents are facing severe water crisis","water-supply","1"
"No Water Supply - market","Urgent action needed for no water supply in market as people have no water","water-supply","1"
"Water Tanker Delay at office building","Urgent action needed for water tanker delay in office building as people have no water","water-supply","1"
"Problem with water bill error on colony","The water problem of water bill error in colony needs immediate attention","water-supply","1"
"Issue of no water supply at slum area","The water problem of no water supply in slum area needs immediate attention","water-supply","1"
"Water Contamination - township","The water problem of water contamination in township needs immediate attention","water-supply","1"
"Pump Not Working in hospital","Urgent action needed for pump not working in hospital as people have no water","water-supply","1"
"Issue of water bill error at colony","Urgent action needed for water bill error in colony as people have no water","water-supply","1"
"Valve Damage near apartment complex","We are facing valve damage in apartment complex for the past several days","water-supply","1"
"Problem with low water pressure on residential area","Urgent action needed for low water pressure in residential area as people have no water","water-supply","1"
"No Water Supply - market","The no water supply in market has affected water supply to hundreds of families","water-supply","1"
"Urgent: no water supply on hospital","Due to no water supply in hospital residents are facing severe water crisis","water-supply","1"
"Borewell Problem on slum area","The water problem of borewell problem in slum area needs immediate attention","water-supply","1"
"Urgent: valve damage on slum area","We are facing valve damage in slum area for the past several days","water-supply","1"
"Valve Damage - slum area","We are facing valve damage in slum area for the past several days","water-supply","1"
"Issue of low water pressure at office building","We are facing low water pressure in office building for the past several days","water-supply","1"
"Problem with water storage overflow on township","Urgent action needed for water storage overflow in township as people have no water","water-supply","1"
"Complaint about water bill error near village","The water bill error in village has affected water supply to hundreds of families","water-supply","1"
"Pipeline Burst on slum area","Due to pipeline burst in slum area residents are facing severe water crisis","water-supply","1"
"No Water Supply at apartment complex","We are facing no water supply in apartment complex for the past several days","water-supply","1"
"Pipeline Burst - township","Due to pipeline burst in township residents are facing severe water crisis","water-supply","1"
"Urgent: water tanker delay on office building","The water tanker delay in office building has affected water supply to hundreds of families","water-supply","1"
"Water Tanker Delay at colony","Urgent action needed for water tanker delay in colony as people have no water","water-supply","1"
"Urgent: low water pressure on village","Due to low water pressure in village residents are facing severe water crisis","water-supply","1"
"Problem with no water supply on school","The no water supply in school has affected water supply to hundreds of families","water-supply","1"
"Problem with water storage overflow on hospital","Urgent action needed for water storage overflow in hospital as people have no water","water-supply","1"
"Meter Not Working in slum area","Due to meter not working in slum area residents are facing severe water crisis","water-supply","1"
"Problem with pump not working on colony","Urgent action needed for pump not working in colony as people have no water","water-supply","1"
"Problem with borewell problem on market","We are facing borewell problem in market for the past several days","water-supply","1"
"Water Storage Overflow near residential area","We are facing water storage overflow in residential area for the past several days","water-supply","1"
"Pump Not Working on colony","We are facing pump not working in colony for the past several days","water-supply","1"
"Urgent: illegal water tapping on residential area","The illegal water tapping in residential area has affected water supply to hundreds of families","water-supply","1"
"Connection Not Approved on colony","Urgent action needed for connection not approved in colony as people have no water","water-supply","1"
"Connection Not Approved - township","The water problem of connection not approved in township needs immediate attention","water-supply","1"
"Problem with meter not working on apartment complex","Urgent action needed for meter not working in apartment complex as people have no water","water-supply","1"
"Urgent: connection not approved on village","We are facing connection not approved in village for the past several days","water-supply","1"
"Problem with water bill error on residential area","Due to water bill error in residential area residents are facing severe water crisis","water-supply","1"
"Complaint about illegal water tapping near apartment complex","Due to illegal water tapping in apartment complex residents are facing severe water crisis","water-supply","1"
"Complaint about meter not working near office building","The water problem of meter not working in office building needs immediate attention","water-supply","1"
"Pump Not Working at market","The pump not working in market has affected water supply to hundreds of families","water-supply","1"
"Illegal Water Tapping near apartment complex","Due to illegal water tapping in apartment complex residents are facing severe water crisis","water-supply","1"
"Water Tanker Delay - apartment complex","The water tanker delay in apartment complex has affected water supply to hundreds of families","water-supply","1"
"Pipeline Burst on school","The water problem of pipeline burst in school needs immediate attention","water-supply","1"
"Issue of pipeline burst at school","The pipeline burst in school has affected water supply to hundreds of families","water-supply","1"
"Issue of low water pressure at school","Urgent action needed for low water pressure in school as people have no water","water-supply","1"
"Problem with water tanker delay on township","The water problem of water tanker delay in township needs immediate attention","water-supply","1"
"Water Bill Error near residential area","The water bill error in residential area has affected water supply to hundreds of families","water-supply","1"
"Water Tanker Delay at office building","The water tanker delay in office building has affected water supply to hundreds of families","water-supply","1"
"Problem with water leakage on residential area","Due to water leakage in residential area residents are facing severe water crisis","water-supply","1"
"Pump Not Working at township","Due to pump not working in township residents are facing severe water crisis","water-supply","1"
"Urgent: pump not working on apartment complex","Urgent action needed for pump not working in apartment complex as people have no water","water-supply","1"
"Problem with water leakage on school","We are facing water leakage in school for the past several days","water-supply","1"
"Problem with water storage overflow on office building","Urgent action needed for water storage overflow in office building as people have no water","water-supply","1"
"Complaint about meter not working near apartment complex","The water problem of meter not working in apartment complex needs immediate attention","water-supply","1"
"Complaint about connection not approved near colony","The water problem of connection not approved in colony needs immediate attention","water-supply","1"
"Water Storage Overflow in market","The water storage overflow in market has affected water supply to hundreds of families","water-supply","1"
"Urgent: no water supply on office building","Due to no water supply in office building residents are facing severe water crisis","water-supply","1"
"Pump Not Working on village","The water problem of pump not working in village needs immediate attention","water-supply","1"
"Connection Not Approved on market","The connection not approved in market has affected water supply to hundreds of families","water-supply","1"
"Connection Not Approved on apartment complex","The water problem of connection not approved in apartment complex needs immediate attention","water-supply","1"
"Water Contamination in office building","The water problem of water contamination in office building needs immediate attention","water-supply","1"
"Connection Not Approved at school","The connection not approved in school has affected water supply to hundreds of families","water-supply","1"
"Urgent: water leakage on hospital","Due to water leakage in hospital residents are facing severe water crisis","water-supply","1"
"Water Bill Error on village","The water bill error in village has affected water supply to hundreds of families","water-supply","1"
"Borewell Problem at residential area","Urgent action needed for borewell problem in residential area as people have no water","water-supply","1"
"Meter Not Working - market","Urgent action needed for meter not working in market as people have no water","water-supply","1"
"Pump Not Working - office building","The pump not working in office building has affected water supply to hundreds of families","water-supply","1"
"Complaint about no water supply near office building","Urgent action needed for no water supply in office building as people have no water","water-supply","1"
"No Water Supply - office building","The no water supply in office building has affected water supply to hundreds of families","water-supply","1"
"Issue of water contamination at slum area","Due to water contamination in slum area residents are facing severe water crisis","water-supply","1"
"Issue of pump not working at hospital","Urgent action needed for pump not working in hospital as people have no water","water-supply","1"
"Water Bill Error - slum area","Urgent action needed for water bill error in slum area as people have no water","water-supply","1"
